제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
덕후의 글쓰기,미야케 카호,신찬,,,,,,더페이지,2025년 11월,16020,0.0,0,https://www.yes24.com/product/goods/159255964,240,국내도서 인문 글쓰기  글쓰기 일반,"“클리셰는 이제 그만! 나만의 언어로 최애의 감동을 100% 전달한다”좋아하는 마음을 말과 글로 정확하게 전하는 기술“이 책은 단순한 글쓰기가 아닌 내 감정을 세분화해 사유하고, 타인의 시선에서 나를 지켜 내는 가장 강력한 언어 습관을 가르쳐 준다. 읽고 나면 내가 좋아하는 것도, 내 존재도 명징해진다.”당신의 심장이 터질 듯 좋았던 그 순간을 누군가에게 설명하려 할 때, 입가에 맴도는 단어가 결국 “대박!” 혹은 “쩔어!”가 전부이진 않은가? 열렬한 마음은 폭발하는데, 표현은 늘 상투적인 클리셰에 갇혀 버리기 때문이다. 이 답답함은 단순히 좋아하는 대상을 제대로 전달하지 못한다는 좌절감을 넘어 나중에는 그 감동마 희미하게 만들어 버린다. 우리는 대개 이 절망적인 순간에 자신의 어휘력이나 문장력을 탓하며 결국 침묵을 선택할 때가 많다.그러나 단언컨대, 문제는 당신의 머리가 텅 비었거나 문장력이 부족해서가 아니다. 그렇다면 어떤 점이 문제일까? 작가는 이 책에 문제점과 명확한 해결책을 제시한다. 고도의 지식이나 천재성이 아닌 감동을 포착하고 세밀하게 쪼개는 작은 요령만 알면 충분하다. 복잡한 수사를 외울 필요 없이 내가 ‘좋다’라고 느끼는 감정을 ‘공감’인지 ‘놀라움’인지 명확히 구분하고, ‘왜 좋았을까?’라는 질문을 던져 감정의 원인을 세분화하는 것. 이렇게 세분화한 감정이 바로 타인에게 진정으로 전달될 나만의 언어로 발전한다.작가는 일본의 명한 문예평론가이자 서평가 미야케 카호다. 아이돌과 작품을 향한 자신의 깊은 ‘덕질’ 경험을 날카로운 논리와 글쓰기 기법에 결합하여 단순한 팬심을 독창적 글쓰기의 기술로 승화시켰다. 그 결과, 일본 최고 권위의 ‘신서 대상’까지 수상하며 이미 일본 사회에 지적 화두를 던진 전문가로 인정받았다. 단순한 감상법을 넘어 실제 검증된 언어 구축의 기술과 논리적 사고의 노하우를 담은 유일무이한 가이드가 바로 이 책이다.이제 이 책에서 제시하는 기술을 손에 넣은 당신은 더 이상 모호한 감상에 머물러 있지 않아도 된다. 좋아하는 최애의 매력을 열 배는 더 재미있게 설명하고, 듣는 이를 곧바로 덕후로 만들 수 있는 강력한 설득 스킬을 갖게 된다. SNS나 블로그에 클리셰 없는 독창적인 리뷰를 쓰는 능력까지 획기적으로 끌어올릴 수 있으며, 단순히 표현력만 향상되는 것이 아니라 자신의 취향과 가치관을 단단하게 정립하는 과정까지 경험하게 된다.타인의 언어에 휘둘리며 내 감정마 의심했던 불안한 시대는 이제 끝이다. 이제 당신은 스스로를 지키는 가장 강력한 무기, ‘자기 언어’를 구축할 능력을 손에 넣었다. 이 책은 단순한 글쓰기 안내서를 넘어, 덕질 라이프의 해상도를 극한까지 끌어올리는 실전 매뉴얼이자, 좋아하는 것을 온전히 표현하고 즐길 수 있는 인생의 감각적 도구로 자리할 것이다. 오늘부터 당신의 감동을 진짜로 전달하는 여정을 시작해 보자."
하루 한 장 나의 어휘력을 위한 필사 노트,유선경,,,,,,,위즈덤하우스,2024년 10월,21420,9.5,827,https://www.yes24.com/product/goods/125557465,양,국내도서 인문 글쓰기  글쓰기 일반,"“오늘부터 하루 한 장, 나의 어휘력을 위한 필사를 시작합니다”- 20만 독자가 선택한 필사 열풍 화제의 도서!필사 노트의 대명사 ‘컴포지션 에디션’ 출간 출간 즉시 인문 분야 베스트셀러에 오르며, 필사 열풍을 몰고 온 『하루 한 장 나의 어휘력을 위한 필사 노트』가 컴포지션 에디션으로 새롭게 독자들과 만난다. 그동안 필사를 어렵게만 생각했던 독자들은 이 책을 통해 필사를 경험하며 스마트폰을 내려놓고 손에 펜을 쥐게 한 ‘인생 책’이라는 극찬을 아끼지 않았다. 동서고금을 아우르는 양질의 도서 추천은 물론이고, 필사의 효용을 두루 짚어내며 어휘력을 늘리기 위한 필사 가이드까지 알차게 담겨 있어 이제 막 필사를 시작하는 입문자들의 뜨거운 호응을 받았다. 필사 노트의 대명사인 컴포지션 스튜디오와의 협업을 통해 선보이는 이번 ‘컴포지션 에디션’은 필사의 아날로그 감성과 디테일을 더하며 더욱 소장 가치를 높였다."
나 항상 네 곁에 있어,캐스린 미숑,,,세스 테일러,,,,부키,2025년 10월,16200,0.0,0,https://www.yes24.com/product/goods/154569716,쪽수확인,국내도서 에세이 그림 에세이,"“네가 준 사랑은 모든 면에서 완벽했어” 무조건적인 사랑을 하는 존재가건네는 귀엽고 다정한 말들★백수린 소설가, 정멜멜 사진가 추천★★영화 [안녕, 베일리] 각본가의 첫 그림 에세이★“사람들에게 조언하고 싶어. 개들처럼 살라고. 그만 좀 두려워하고 더 많이 사랑하라고.”《나 항상 네 곁에 있어》는 개의 시선에서 쓴 따뜻하고 다정한 그림 에세이다. 책 속 우리의 털복숭이 친구들은 이 세상에서 가장 중요한 말은 “닭고기!”라고 외치다가도, “그만 좀 두려워하고 더 많이 사랑하라”며 애정 어린 잔소리를 늘어놓는다. 개들은 시 때때로 어이없을 만큼 엉뚱하고, 그보다 벅차게 사랑스럽다. 이 책은 짧은 생에 최선을 다해 사랑하는 개의 일생을 일기장처럼 펼쳐 보이며, 그들과 나눈 순수하고 깊은 사랑의 감각을 떠올리게 한다.이 책의 자는 과거, 사랑하는 개와 이별하고 다시는 개를 품을 수 없을 것 같다고 생각했다. 그때 그녀의 남편은 개가 환생해서 다시 돌아오는 가슴 따뜻한 이야기를 들려주었고, 자는 마침내 상실의 슬픔을 극복하며 다시 사랑할 용기를 얻었다고 고백한다. 이 책은 그 고백에서 출발해, 두려워하느라 사랑하지 못하는 이들을 위해 쓰였다. 우리의 개들처럼 마음껏 사랑하기를 바라는 마음으로."
한 번 배워서 평생 써먹는 박곰희 투자법,박곰희,,,,,,,인플루엔셜,2020년 12월,15750,9.7,137,https://www.yes24.com/product/goods/95874103,300,국내도서 경제 경영 투자 재테크 재테크일반,"30만 초보 투자자들이 선택한‘박곰희TV’의 투자·재테크 강의를 한 권으로 만나다!국내 1위 증권사 PB 출신 박곰희의 친절하고 꼼꼼한 투자 로드맵 “투자 생존의 시대, 월급쟁이를 위한 투자는 달라야 한다!”『한 번 배워서 평생 써먹는 박곰희 투자법』은 국내 1위 증권사 PB 출신이자, 유튜브 개설 1년 만에 30만 구독자를 달성한 유튜브 ‘박곰희TV(본명 박동호)’의 첫 책이다. 대형 증권사에서 정보의 불균형과 투자 행태의 차이가 빈부 격차를 만든다는 것을 체감한 자 박곰희(본명 박동호)는, 일반 투자자들이 본업에 충실하면서도 꾸준히 수익을 내며 탄탄한 자산을 만들 수 있는 박곰희식 투자법을 한 권으로 정리했다. 투자를 처음 하는 사람들이 지금 당장 투자를 시작하려면 무엇부터 해야 할까? 어마어마한 투자의 스펙트럼 속에서 자는 ‘꼭 알아야 하는 것’과 ‘몰라도 되는 것’을 구분해야 한다고 조언한다. 투자를 시작할 때는 생각보다 많은 것이 필요하지 않다는 게 그의 지론이다. 특히 근로소득이 주요 수입원인 월급쟁이 투자자들은 본업에 충실하면서도 쉽게 따라 할 수 있는 효율적인 투자법이 필요하다. 자는 『박곰희 투자법』에 재무제표나 차트 분석 같은 복잡한 이론이나 공식 없이 누구나 따라 할 수 있으면서도 손실 걱정 없는 안정적인 투자법을 담았다고 자신한다. 단번에 부자가 되는 비법은 없지만 안정적으로 돈을 굴리며 탄탄한 자산을 만드는 방법은 있다. 돈이 모이는 시스템을 만드는 박곰희식 투자법을 지금 바로 만나보자!"
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,이시형,,,,,,청아출판사,2020년 05월,8820,9.6,339,https://www.yes24.com/product/goods/90454414,224,국내도서 인문 심리 심리학 이론,"20세기를 대표하는 사상가이자 정신 의학자인 빅터 프랭클의 자전적인 에세이. 나치 강제 수용소에서 겪은 참혹한 고통을 건조하고 담담한 시선으로 술회한다. 그리고 자신의 이러한 경험을 분석해 정신 치료 기법인 로고테라피를 정립하고, 이 기법을 통해 인간이 어떻게 고난을 극복하고 삶을 살아가야 하는지 방향을 제시한다. 인간다움이란 무엇인가, 삶의 의미란 무엇인가에 대해 심리학적으로 접근하며 읽는 이에게 깊은 감동을 전한다."
기획의 감각,정병기,,,,,,,21세기북스,2025년 10월,17010,10.0,2,https://www.yes24.com/product/goods/158945176,236,국내도서 자기계발 기획 정보 시간관리,"“남들이 미쳤다고 말할 때 기획은 완성된다!” 원더걸스에서 2PM, 러블리즈, 이달의 소녀, tripleS까지K-POP 업계를 뒤바꾼 기획자의 시선, 그 안에 담긴 혁신적 감각에 대하여《기획의 감각》은 아이돌 산업의 화려한 무대 뒤에서 실제로 기획이 어떤 과정으로 이어지는지를 섬세하게 풀어낸 책이다. 시장 분석과 콘셉트 설정, 캐스팅과 트레이닝, 팬덤 운영과 콘텐츠 확장에 이르기까지, 수많은 성공과 시행착오 속에서 얻은 구체적인 사례와 철학을 담았다. 국내 1세대 A&R 프로듀서 정병기(Jaden Jeong)는 트렌드를 좇기보다 시대와 사람을 깊이 관찰하며, 본질을 읽어내는 기획 감각이야말로 콘텐츠와 브랜드를 성공으로 이끄는 힘임을 보여준다. 이 책은 K-POP 업계를 넘어, 기획과 창작, 브랜딩을 고민하는 모든 이들에게 통찰과 영감을 주는 지침서가 되어줄 것이다."
청춘의 독서,유시민,,,,,,,웅진지식하우스,2025년 04월,17010,9.4,530,https://www.yes24.com/product/goods/145629000,양,국내도서 인문 독서 비평 독서 에세이,"시대와 함께한 영원한 ‘청춘의 책’유시민의 『청춘의 독서』 특별증보판 출간!  “세상이 두려울 때마다 그들에게 길을 물었다” 『죄와 벌』부터 『자유론』까지, 유시민이 다시 펼쳐 든 오래된 지도 ★ 33만 부 기념 고급 양장 에디션★ 15번째 책 『자유론』 원고 및 특별판 서문 신규 수록혼탁한 정국마다 명료한 통찰을 전하며 ‘신경안정제’ 할을 해준 우리 시대의 지식인 유시민. 그의 대표작 중 하나로 2009년 처음 출간되어 오랜 시간 사랑받아온 『청춘의 독서』가 고급 양장 제본의 특별증보판으로 독자들과 새롭게 만난다. 존 스튜어트 밀의 『자유론』에 관한 이야기와 특별증보판 서문이 추가됐다. 문장도 전체적으로 손봤다. 『청춘의 독서』는 유시민이 ‘청년 시절 읽었던 고전을 다시 읽어보면 어떨까? 시대도 변하고 나이도 들었으니 뭔가 다르지 않을까?’라는 생각에 손때 묻은 책들을 다시 펴보면서 시작되었다. 어린 시절 아버지의 서재에서 우연히 발견한 『죄와 벌』, 침침한 스탠드 불빛 아래 엎드려 몰래 읽었던 『공산당 선언』, 노무현 전 대통령의 가슴 아픈 마지막을 떠올리게 한 『카타리나 블룸의 잃어버린 명예』, 사를 바라보는 새로운 눈을 뜨게 한 『사란 무엇인가』 그리고 21세기가 된 지 한참이 지난 지금 다시 자유의 가치를 떠올리게 한 『자유론』까지. 누구보다 뜨거웠던 청년 유시민을 만든 원천이자, 오늘의 유시민이 자신뿐만 아니라 우리에게 던지는 질문에 대한 답을 품고 있는 책이기도 하다. “사람들은 왜 모두 부자가 되고 싶어 할까?”, “인간은 원래 이기적인 존재일까?”, “내 머리로 생각한다는 것은 과연 무엇일까?”, “사실은 어떻게 왜곡되는가?” 그리고 “어떻게 살아야 할까?” 문명의 사에 거대한 이정표를 세운 15권의 위대한 책들. 그 안에는 앞서 살다 간 이들의 고민과 답이 담겨 있다. 『청춘의 독서』를 통해 그들이 남긴 발자취를 따라가다 보면 오늘을 사는 지혜를 배우고 더 나은 내일을 그리는 가슴 벅찬 경험을 하게 될 것이다."
Go Go 카카오프렌즈 자연탐사 13 아타카마 사막,조주희,,,김정한,김미영,,,아울북,2025년 10월,15210,10.0,3,https://www.yes24.com/product/goods/159167137,148,국내도서 어린이 3-4학년 3-4학년 만화 애니메이션 3-4학년 학습만화,"누적 200만 부 판매 초베스트셀러 〈Go Go 카카오프렌즈 사문화〉에 이은새로운 베스트셀러 〈Go Go 카카오프렌즈 자연탐사〉, 13권 아타카마 사막 편 출간!대체불가 주인공 ‘카카오프렌즈’가 지구의 자연, 생태, 기후, 환경을 탐사하러 새로이 나섰다!전 지구의 다양한 기후대와 생태계를 배경으로 벌어지는 본격 지구 자연 생태 탐사 학습만화   200만 부 신화의 〈Go Go 카카오프렌즈〉, 그 사를 잇는 자연탐사의 열세 번째 이야기 남아메리카의 고원 사막, 아타카마에서 펼쳐지는 카카오프렌즈의 활약〈Go Go 카카오프렌즈〉의 첫 번째 시리즈인 〈Go Go 카카오프렌즈 사문화〉는 깜찍한 캐릭터의 매력에 재미있는 스토리, 알찬 정보까지 겸비한 세계사 대표 학습만화다. 어린이 독자와 부모님의 마음까지 사로잡아 출간되자마자 베스트셀러에 오르고 단시간에 누적 판매 200만 부를 이룰 정도로 시리즈 전체가 꾸준한 사랑을 받고 있다. 바로 그, 〈Go Go 카카오프렌즈 사문화〉의 주인공인 ‘카카오프렌즈’가 사 퍼즐을 좇는 비밀 요원에서 지구 생물들의 유전 정보가 담긴 씨드볼을 찾는 탐사요원으로 변신했다. 자연탐사에 나선 카카오프렌즈는 씨드볼이 발견되는 전 지구 곳곳의 다양한 생태계와 기후대를 누비며 지구의 시작부터 현재까지 수십억 년을 오가는 대활약을 펼치게 된다.이번 탐사지는 남아메리카 대륙 서쪽 끝 태평양과 안데스산맥 사이에 자리한 아타카마사막이다. 세계에서 두 번째로 건조한 지으로, 고원 지대에 자리한 드넓은 모래 평원 위에 달의 계곡, 소금 호수, 거인 지상화 등 경이로운 풍경이 끝없이 이어진다. 해가 지면 수많은 별이 수놓은 밤하늘을 바라볼 수 있고, 위대한 탐험가 훔볼트의 발자취를 좇아 볼 수도 있는 등 신비로운 매력이 가득한 사막이기도 하다. 또한 훔볼트펭귄, 야레타, 비쿠냐 등 고원 사막에 적응한 독특한 동식물의 생태계를 엿볼 수 있다.지난 보르네오 탐사에서 얻은 안나의 스마트 워치로 보르네오 씨드볼을 되찾은 카카오프렌즈. 그러나 안티고는 이것을 기회로 씨드고와 카카오프렌즈의 통신을 스파이웨어로 감염시켜 아타카마 탐사를 혼란에 빠뜨린다. 안티고의 방해 공작과 탐사 곳곳마다 따라다니는 안티 & 안나 콤비의 훼방을 뚫고 라이언, 제이지, 그리고 네오와 프로도는 아타카마의 씨드볼을 모으기 위한 모험에 나선다. 알마 천문대, 달의 계곡, 소금 사막 등 아타카마의 세계적인 명소를 넘나들며 리튬 광산과 쓰레기 옷 산으로 드러나는 환경문제까지 두루 살펴보는 카카오프렌즈의 활약은 어린이 독자들에게 생태계에 대한 폭넓은 지식과 호기심을 불어넣을 것이다."
체인소 맨 1부 박스 세트,후지모토 타츠키,,,,,,,학산문화사,2024년 12월,63000,10.0,22,https://www.yes24.com/product/goods/140231293,0,없음,책소개 없음
시체는 거짓말하지 않는다,유성호,,,,,,,위즈덤하우스,2025년 10월,18000,10.0,6,https://www.yes24.com/product/goods/158940211,304,국내도서 인문 인문 교양 교양으로 읽는 인문,"국내 최고의 법의학자, 서울대학교 의과대학 유성호 교수는 지금도 매주 부검실에서 시체를 마주한다. 1999년 첫 부검 이후 지금까지 3,000건이 넘는 부검을 하며, 그는 사람이 어떻게 죽는지 누구보다 정확히 알게 되었다. 이 책은 그가 27년간 마주한 수많은 죽음을 토대로 한국인의 실제 사망 원인을 짚어내고, 우리 몸속의 장기를 본격적으로 탐구하며, 질병이나 사고로부터 죽음을 늦출 수 있는 길을 전문적이면서도 알기 쉽게 풀어냈다. 실제로 그가 경험한 충격적인 부검 사례들을 통해 우리 몸의 주요 장기와 생사를 좌우하는 치명적 질환을 면밀히 분석하며 동시에 ‘죽지 않고 건강하게 살 수 있는’ 방법도 전한다."
